databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	side	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	tags
51223bd0-ffd1-11df-a976-0801200c9036	Thicket of Spears	51223bd0-ffd1-11df-a976-0801200c9036.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	36			Tactics			3											You must use resources from 3 different heroes' pools to pay for this card.  Action: Choose a player. That player's engaged enemies cannot attack that player this phase.		
51223bd0-ffd1-11df-a976-0801200c9037	Swift Strike	51223bd0-ffd1-11df-a976-0801200c9037.jpg	player	Event	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	37			Tactics			2											Response: After a character is declared as a defender, deal 2 damage to the attacking enemy.		
51223bd0-ffd1-11df-a976-0801200c9038	Stand Together	51223bd0-ffd1-11df-a976-0801200c9038.jpg	player	Event	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	38			Tactics			0											Action: Choose a player. That player may declare any number of his eligible characters as defenders against each enemy attacking him this phase.		
51223bd0-ffd1-11df-a976-0801200c9039	Blade of Gondolin	51223bd0-ffd1-11df-a976-0801200c9039.jpg	player	Attachment	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	39			Tactics	Item. Weapon.	Attach to a hero. Restricted.	1											Attached hero gets +1 [attack] when attacking an Orc.  Response: After attached hero attacks and destroys an enemy, place 1 progress token on the current quest.		
51223bd0-ffd1-11df-a976-0801200c9040	Citadel Plate	51223bd0-ffd1-11df-a976-0801200c9040.jpg	player	Attachment	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	40			Tactics	Item. Armor.	Attach to a hero. Restricted.	4											Attached hero gets +4 Hit Points.		
51223bd0-ffd1-11df-a976-0801200c9041	Dwarven Axe	51223bd0-ffd1-11df-a976-0801200c9041.jpg	player	Attachment	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	41			Tactics	Item. Weapon.	Attach to a hero. Restricted.	2											Attached hero gains +1 [attack]. (+2 [attack] instead if attached hero is a Dwarf.)		
51223bd0-ffd1-11df-a976-0801200c9042	Horn of Gondor	51223bd0-ffd1-11df-a976-0801200c9042.jpg	player	Attachment	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	42		1	Tactics	Item. Artifact.	Attach to a hero. Restricted.	1											Response: After a character is destroyed, add 1 resource to attached hero's pool.		
51223bd0-ffd1-11df-a976-0801200c9043	Wandering Took	51223bd0-ffd1-11df-a976-0801200c9043.jpg	player	Ally	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	43			Spirit	Hobbit.		2				1	1	1	2				Action: Reduce your threat by 3 to give control of Wandering Took to another player. Raise that player's threat by 3.		
51223bd0-ffd1-11df-a976-0801200c9044	Lórien Guide	51223bd0-ffd1-11df-a976-0801200c9044.jpg	player	Ally	Core Set	3	51223bd0-ffd1-11df-a976-0801200c9000	44			Spirit	Silvan. Scout.		3				1	1	0	2				Response: After Lorien Guide commits to a quest, place 1 progress token on the active location.		
51223bd0-ffd1-11df-a976-0801200c9045	Northern Tracker	51223bd0-ffd1-11df-a976-0801200c9045.jpg	player	Ally	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	45			Spirit	Dunedain. Ranger.		4				1	2	2	3				Response: After Northern Tracker commits to a quest, place 1 progress token on each location in the staging area.		
51223bd0-ffd1-11df-a976-0801200c9046	The Galadhrim's Greeting	51223bd0-ffd1-11df-a976-0801200c9046.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	46			Spirit			3											Action: Reduce one player's threat by 6, or reduce each player's threat by 2.		
51223bd0-ffd1-11df-a976-0801200c9047	Strength of Will	51223bd0-ffd1-11df-a976-0801200c9047.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	47			Spirit			0											Response: After you travel to a location, exhaust a [spirit] character to place 2 progress tokens on that location.		
51223bd0-ffd1-11df-a976-0801200c9048	Hasty Stroke	51223bd0-ffd1-11df-a976-0801200c9048.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	48			Spirit			1											Response: Cancel a shadow effect just triggered during combat.		
51223bd0-ffd1-11df-a976-0801200c9049	Will of the West	51223bd0-ffd1-11df-a976-0801200c9049.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	49			Spirit			1											Action: Choose a player. Shuffle that player's discard pile back into his deck.		
51223bd0-ffd1-11df-a976-0801200c9050	A Test of Will	51223bd0-ffd1-11df-a976-0801200c9050.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	50			Spirit			1											Response: Cancel the "when revealed" effects of a card that was just revealed from the encounter deck.		
51223bd0-ffd1-11df-a976-0801200c9051	Stand and Fight	51223bd0-ffd1-11df-a976-0801200c9051.jpg	player	Event	Core Set	3	51223bd0-ffd1-11df-a976-0801200c9000	51			Spirit			X											Action: Choose an ally with a printed cost of X in any player's discard pile. Put that ally into play under your control. (The chosen ally can belong to any sphere of influence.)		
51223bd0-ffd1-11df-a976-0801200c9052	A Light in the Dark	51223bd0-ffd1-11df-a976-0801200c9052.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	52			Spirit			2											Action: Choose an enemy engaged with a player. Return that enemy to the staging area.		
51223bd0-ffd1-11df-a976-0801200c9053	Dwarven Tomb	51223bd0-ffd1-11df-a976-0801200c9053.jpg	player	Event	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	53			Spirit			1											Action: Return 1 [spirit] card from your discard pile to your hand.		
51223bd0-ffd1-11df-a976-0801200c9054	Fortune or Fate	51223bd0-ffd1-11df-a976-0801200c9054.jpg	player	Event	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	54			Spirit			5											Action: Choose a hero in any player's discard pile. Put that card into play, under its owner's control.		
51223bd0-ffd1-11df-a976-0801200c9055	The Favor of the Lady	51223bd0-ffd1-11df-a976-0801200c9055.jpg	player	Attachment	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	55			Spirit	Condition.	Attach to a hero.	2											Attached hero gains +1 [willpower].		
51223bd0-ffd1-11df-a976-0801200c9056	Power in the Earth	51223bd0-ffd1-11df-a976-0801200c9056.jpg	player	Attachment	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	56			Spirit	Condition.	Attach to a location.	1											Attached location gets -1 [threat].		
51223bd0-ffd1-11df-a976-0801200c9057	Unexpected Courage	51223bd0-ffd1-11df-a976-0801200c9057.jpg	player	Attachment	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	57			Spirit	Condition.	Attach to a hero.	2											Action: Exhaust Unexpected Courage to ready attached hero.		
51223bd0-ffd1-11df-a976-0801200c9058	Daughter of the Nimrodel	51223bd0-ffd1-11df-a976-0801200c9058.jpg	player	Ally	Core Set	3	51223bd0-ffd1-11df-a976-0801200c9000	58			Lore	Silvan.		3				1	0	0	1				Action: Exhaust Daughter of the Nimrodel to heal up to 2 damage on any 1 hero.		
51223bd0-ffd1-11df-a976-0801200c9059	Erebor Hammersmith	51223bd0-ffd1-11df-a976-0801200c9059.jpg	player	Ally	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	59			Lore	Dwarf. Craftsman.		2				1	1	1	3				Response: After you play Erebor Hammersmith, return the topmost attachment in any player's discard pile to his hand.		
51223bd0-ffd1-11df-a976-0801200c9060	Henamarth Riversong	51223bd0-ffd1-11df-a976-0801200c9060.jpg	player	Ally	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	60		1	Lore	Silvan.		1				1	1	0	1				Action: Exhaust Henamarth Riversong to look at the top card of the encounter deck.		
51223bd0-ffd1-11df-a976-0801200c9061	Miner of the Iron Hills	51223bd0-ffd1-11df-a976-0801200c9061.jpg	player	Ally	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	61			Lore	Dwarf.		2				0	1	1	2				Response: After Miner of the Iron Hills enters play, choose and discard 1 Condition attachment from play.		
51223bd0-ffd1-11df-a976-0801200c9062	Gléowine	51223bd0-ffd1-11df-a976-0801200c9062.jpg	player	Ally	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	62		1	Lore	Minstrel. Rohan.		2				1	0	0	2				Action: Exhaust Gleowine to choose a player. That player draws 1 card.		
51223bd0-ffd1-11df-a976-0801200c9063	Lore of Imladris	51223bd0-ffd1-11df-a976-0801200c9063.jpg	player	Event	Core Set	3	51223bd0-ffd1-11df-a976-0801200c9000	63			Lore			2											Action: Choose a character. Heal all damage from that character.		
51223bd0-ffd1-11df-a976-0801200c9064	Lórien's Wealth	51223bd0-ffd1-11df-a976-0801200c9064.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	64			Lore			3											Action: Choose a player. That player draws 3 cards.		
51223bd0-ffd1-11df-a976-0801200c9065	Radagast's Cunning	51223bd0-ffd1-11df-a976-0801200c9065.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	65			Lore			1											Quest Action: Choose an enemy in the staging area. Until the end of the phase, that enemy does not contribute its [threat].		
51223bd0-ffd1-11df-a976-0801200c9066	Secret Paths	51223bd0-ffd1-11df-a976-0801200c9066.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	66			Lore			1											Quest Action: Choose a location in the staging area. Until the end of the phase, that location does not contribute its [threat].		
51223bd0-ffd1-11df-a976-0801200c9067	Gandalf's Search	51223bd0-ffd1-11df-a976-0801200c9067.jpg	player	Event	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	67			Lore			X											Action: Look at the top X cards of any player's deck, add 1 of those cards to its owner's hand, and return the rest to the top of the deck in any order.		
51223bd0-ffd1-11df-a976-0801200c9068	Beorn's Hospitality	51223bd0-ffd1-11df-a976-0801200c9068.jpg	player	Event	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	68			Lore			5											Action: Choose a player. Heal all damage on each hero controlled by that player.		
51223bd0-ffd1-11df-a976-0801200c9069	Forest Snare	51223bd0-ffd1-11df-a976-0801200c9069.jpg	player	Attachment	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	69			Lore	Item. Trap.	Attach to an enemy engaged with a player.	3											Attached enemy cannot attack.		
51223bd0-ffd1-11df-a976-0801200c9070	Protector of Lórien	51223bd0-ffd1-11df-a976-0801200c9070.jpg	player	Attachment	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	70			Lore	Title.	Attach to a hero.	1											Action: Discard a card from your hand to give attached hero +1 [defense] or +1 [willpower] until the end of the phase. Limit 3 times per phase.		
51223bd0-ffd1-11df-a976-0801200c9071	Dark Knowledge	51223bd0-ffd1-11df-a976-0801200c9071.jpg	player	Attachment	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	71			Lore	Condition.	Attach to a hero. Attached hero gets -1 [willpower].	1											Response: Exhaust Dark Knowledge to look at 1 shadow card that was just dealt to an enemy attacking you.		
51223bd0-ffd1-11df-a976-0801200c9072	Self Preservation	51223bd0-ffd1-11df-a976-0801200c9072.jpg	player	Attachment	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	72			Lore	Skill.	Attach to a character.	3											Action: Exhaust Self Preservation to heal 2 points of damage from attached character.		
51223bd0-ffd1-11df-a976-0801200c9073	Gandalf	51223bd0-ffd1-11df-a976-0801200c9073.jpg	player	Ally	Core Set	4	51223bd0-ffd1-11df-a976-0801200c9000	73		1	Neutral	Istari.		5				4	4	4	4				At the end of the round, discard Gandalf from play.   Response: After Gandalf enters play, (choose 1): draw 3 cards, deal 4 damage to 1 enemy in play, or reduce your threat by 5.		
51223bd0-ffd1-11df-a976-0801200c9074	King Spider	51223bd0-ffd1-11df-a976-0801200c9074.jpg	encounter	Enemy	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	74	Spiders of Mirkwood			Creature. Spider.				20	2		3	1	3				When Revealed: Each player must choose and exhaust 1 character he controls.	Shadow: Defending player must choose and exhaust 1 character he controls. (2 characters instead if this attack is undefended.)	
51223bd0-ffd1-11df-a976-0801200c9075	Hummerhorns	51223bd0-ffd1-11df-a976-0801200c9075.jpg	encounter	Enemy	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	75	Spiders of Mirkwood			Creature. Insect.				40	1		2	0	3		5		Forced: After Hummerhorns engages you, deal 5 damage to a single hero you control.	Shadow: Deal 1 damage to each character the defending player controls. (2 damage instead if this attack is undefended.)	
51223bd0-ffd1-11df-a976-0801200c9076	Ungoliant's Spawn	51223bd0-ffd1-11df-a976-0801200c9076.jpg	encounter	Enemy	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	76	Spiders of Mirkwood			Creature. Spider.				32	3		5	2	9				When Revealed: Each character currently committed to a quest gets -1 [willpower] until the end of the phase.	Shadow: Raise defending player's threat by 4. (Raise defending player's threat by 8 instead if this attack is undefended.)	
51223bd0-ffd1-11df-a976-0801200c9077	Great Forest Web	51223bd0-ffd1-11df-a976-0801200c9077.jpg	encounter	Location	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	77	Spiders of Mirkwood			Forest.					2					2			Travel: Each player must exhaust 1 hero he controls to travel here.		
51223bd0-ffd1-11df-a976-0801200c9078	Mountains of Mirkwood	51223bd0-ffd1-11df-a976-0801200c9078.jpg	encounter	Location	Core Set	3	51223bd0-ffd1-11df-a976-0801200c9000	78	Spiders of Mirkwood			Forest. Mountain.					2					3			Travel: Reveal the top card of the encounter deck and add it to the staging area to travel here.  Response: After Mountains of Mirkwood leaves play as an explored location, each player may search the top 5 cards of his deck for 1 card and add it to his hand. Shuffle the rest of the searched cards back into their owners' decks.		
51223bd0-ffd1-11df-a976-0801200c9079	Eyes of the Forest	51223bd0-ffd1-11df-a976-0801200c9079.jpg	encounter	Treachery	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	79	Spiders of Mirkwood																When Revealed: Each player discards all event cards in his hand.		
51223bd0-ffd1-11df-a976-0801200c9080	Caught in a Web	51223bd0-ffd1-11df-a976-0801200c9080.jpg	encounter	Treachery	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	80	Spiders of Mirkwood																When Revealed: The player with the highest threat level attaches this card to one of his heroes. (Counts as a Condition attachment with the text: "Attached hero does not ready during the refresh phase unless you pay 2 resources from that hero's pool.")		
51223bd0-ffd1-11df-a976-0801200c9081	Wolf Rider	51223bd0-ffd1-11df-a976-0801200c9081.jpg	encounter	Enemy	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	81	Wilderlands			Goblin. Orc.	Surge.			10	1		2	0	2					Shadow: Wolf Rider attacks the defending player. That player may declare 1 character as a defender. Deal Wolf Rider its own Shadow card. After combat, return Wolf Rider to the top of the encounter deck.	
51223bd0-ffd1-11df-a976-0801200c9082	Hill Troll	51223bd0-ffd1-11df-a976-0801200c9082.jpg	encounter	Enemy	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	82	Wilderlands			Troll.				30	1		6	3	9		4		Excess combat damage dealt by Hill Troll (damage that is dealt beyond the remaining hit points of the character damaged by its attack) must be assigned as an increase to your threat.		
51223bd0-ffd1-11df-a976-0801200c9083	Goblin Sniper	51223bd0-ffd1-11df-a976-0801200c9083.jpg	encounter	Enemy	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	83	Wilderlands			Goblin. Orc.				48	2		2	0	2				During the encounter phase, players cannot optionally engage Goblin Sniper if there are other enemies in the staging area.  Forced: If Goblin Sniper is in the staging area at the end of the combat phase, each player deals 1 point of damage to 1 character he controls.		
51223bd0-ffd1-11df-a976-0801200c9084	Marsh Adder	51223bd0-ffd1-11df-a976-0801200c9084.jpg	encounter	Enemy	Core Set	1	51223bd0-ffd1-11df-a976-0801200c9000	84	Wilderlands			Creature.				40	3		4	1	7		3		Forced: Each time Marsh Adder attacks you, raise your threat by 1.		
51223bd0-ffd1-11df-a976-0801200c9085	Wargs	51223bd0-ffd1-11df-a976-0801200c9085.jpg	encounter	Enemy	Core Set	2	51223bd0-ffd1-11df-a976-0801200c9000	85	Wilderlands			Creature.				20	2		3	1	3				Forced: If Wargs is dealt a shadow card with no effect, return Wargs to the staging area after it attacks.	Shadow: attacking enemy gets +1 [attack]. (+2 [attack] instead if this attack is undefended.)	
